,Series Code,Series Name
332,SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
333,SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
334,SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
335,SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
336,SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
337,SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
338,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
339,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
340,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
341,SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
342,SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
343,SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
344,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
345,SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
346,SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
347,SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
348,SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
349,SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
350,SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
351,SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
352,SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
353,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita)
354,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output)
355,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total)
356,EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total)
357,EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total)
358,EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total)
359,EG.ELC.PETR.ZS,Electricity production from oil sources (% of total)
360,EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
361,EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
362,EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)"
363,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)"
364,SL.EMP.MPYR.MA.ZS,"Employers, male (% of male employment) (modeled ILO estimate)"
365,SL.EMP.MPYR.ZS,"Employers, total (% of total employment) (modeled ILO estimate)"
366,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate)
367,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
368,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
369,SL.IND.EMPL.ZS,Employment in industry (% of total employment) (modeled ILO estimate)
370,SL.IND.EMPL.FE.ZS,"Employment in industry, female (% of female employment) (modeled ILO estimate)"
371,SL.IND.EMPL.MA.ZS,"Employment in industry, male (% of male employment) (modeled ILO estimate)"
372,SL.SRV.EMPL.ZS,Employment in services (% of total employment) (modeled ILO estimate)
373,SL.SRV.EMPL.FE.ZS,"Employment in services, female (% of female employment) (modeled ILO estimate)"
374,SL.SRV.EMPL.MA.ZS,"Employment in services, male (% of male employment) (modeled ILO estimate)"
375,SL.EMP.TOTL.SP.FE.ZS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
376,SL.EMP.TOTL.SP.FE.NE.ZS,"Employment to population ratio, 15+, female (%) (national estimate)"
377,SL.EMP.TOTL.SP.MA.ZS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
378,SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)"
379,SL.EMP.TOTL.SP.ZS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
380,SL.EMP.TOTL.SP.NE.ZS,"Employment to population ratio, 15+, total (%) (national estimate)"
381,SL.EMP.1524.SP.FE.ZS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
382,SL.EMP.1524.SP.FE.NE.ZS,"Employment to population ratio, ages 15-24, female (%) (national estimate)"
383,SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
384,SL.EMP.1524.SP.MA.NE.ZS,"Employment to population ratio, ages 15-24, male (%) (national estimate)"
385,SL.EMP.1524.SP.ZS,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
386,SL.EMP.1524.SP.NE.ZS,"Employment to population ratio, ages 15-24, total (%) (national estimate)"
387,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
388,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
389,EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total)
390,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
391,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)"
392,SH.STA.BFED.ZS,Exclusive breastfeeding (% of children under 6 months)
393,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
394,SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
395,SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
396,GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
397,GC.XPN.TOTL.CN,Expense (current LCU)
398,TX.UVI.MRCH.XD.WD,Export unit value index (2015 = 100)
399,TX.VAL.MRCH.XD.WD,Export value index (2015 = 100)
400,TX.QTY.MRCH.XD.WD,Export volume index (2015 = 100)
401,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU)
402,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
403,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
404,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
405,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$)
406,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU)
407,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
408,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
409,BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)"
410,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
411,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
412,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
413,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
414,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
415,DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
416,DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
417,DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
418,DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
419,DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
420,SH.XPD.EHEX.CH.ZS,External health expenditure (% of current health expenditure)
421,SH.XPD.EHEX.PC.CD,External health expenditure per capita (current US$)
422,SH.XPD.EHEX.PP.CD,"External health expenditure per capita, PPP (current international $)"
423,SH.STA.FGMS.ZS,Female genital mutilation prevalence (%)
424,SP.HOU.FEMA.ZS,Female headed households (% of households with a female head)
425,SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%)
426,SE.LPV.PRIM.LD.FE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
427,SL.EMP.SMGT.FE.ZS,Female share of employment in senior and middle management (%)
428,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
429,AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production)
430,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land)
431,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
432,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
433,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$)
434,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU)
435,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
436,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
437,NV.FSM.TOTL.KN,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
438,NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU)
439,IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
440,IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
441,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms)
442,IC.FRM.THEV.ZS,Firms experiencing losses due to theft and vandalism (% of firms)
443,IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
444,IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
445,IC.FRM.INFM.ZS,Firms that do not report all sales for tax purposes (% of firms)
446,IC.FRM.RSDV.ZS,Firms that spend on R&D (% of firms)
447,IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
448,IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms)
449,IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms)
450,IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
451,IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
452,EN.FSH.THRD.NO,"Fish species, threatened"
453,IT.NET.BBND,Fixed broadband subscriptions
454,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people)
455,IT.MLT.MAIN,Fixed telephone subscriptions
456,IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people)
457,TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports)
458,TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports)
459,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100)
460,NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)"
461,BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)"
462,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
463,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
464,BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)"
465,BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
466,AG.LND.FRST.ZS,Forest area (% of land area)
467,AG.LND.FRST.K2,Forest area (sq. km)
468,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
469,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
470,TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports)
471,TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports)
472,NY.GDP.MKTP.KD,GDP (constant 2015 US$)
473,NY.GDP.MKTP.KN,GDP (constant LCU)
474,NY.GDP.MKTP.CN,GDP (current LCU)
475,NY.GDP.MKTP.CD,GDP (current US$)
476,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
477,NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
478,NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
479,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
480,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
481,NY.GDP.PCAP.CN,GDP per capita (current LCU)
482,NY.GDP.PCAP.CD,GDP per capita (current US$)
483,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
484,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)"
485,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
486,SL.GDP.PCAP.EM.KD,GDP per person employed (constant 2021 PPP $)
487,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)
488,EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
489,NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)"
490,NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
491,NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
492,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
493,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
494,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
495,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU)
496,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
497,NE.CON.GOVT.CD,General government final consumption expenditure (current US$)
498,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent)
499,SI.POV.GINI,Gini index
500,NY.GNP.MKTP.KD,GNI (constant 2015 US$)
501,NY.GNP.MKTP.KN,GNI (constant LCU)
502,NY.GNP.MKTP.CN,GNI (current LCU)
503,NY.GNP.MKTP.CD,GNI (current US$)
504,NY.GNP.MKTP.KD.ZG,GNI growth (annual %)
505,NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$)
506,NY.GNP.PCAP.KN,GNI per capita (constant LCU)
507,NY.GNP.PCAP.CN,GNI per capita (current LCU)
508,NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %)
509,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)"
510,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2021 international $)"
511,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)"
512,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)"
513,NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2021 international $)"
514,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)"
515,NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU)
516,GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
517,GC.XPN.GSRV.CN,Goods and services expense (current LCU)
518,BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)"
519,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)"
520,GE.EST,Government Effectiveness: Estimate
521,GE.NO.SRC,Government Effectiveness: Number of Sources
522,GE.PER.RNK,Government Effectiveness: Percentile Rank
523,GE.PER.RNK.LOWER,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval"
524,GE.PER.RNK.UPPER,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval"
525,GE.STD.ERR,Government Effectiveness: Standard Error
526,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
527,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
528,SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
529,SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
530,SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
531,GC.REV.GOTR.ZS,Grants and other revenue (% of revenue)
532,GC.REV.GOTR.CN,Grants and other revenue (current LCU)
533,BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)"
534,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
535,NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth)
536,NE.GDI.TOTL.KD,Gross capital formation (constant 2015 US$)
537,NE.GDI.TOTL.KN,Gross capital formation (constant LCU)
538,NE.GDI.TOTL.CN,Gross capital formation (current LCU)
539,NE.GDI.TOTL.CD,Gross capital formation (current US$)
540,NY.GDY.TOTL.KN,Gross domestic income (constant LCU)
541,NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP)
542,NY.GDS.TOTL.CN,Gross domestic savings (current LCU)
543,NY.GDS.TOTL.CD,Gross domestic savings (current US$)
544,NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP)
545,NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth)
546,NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2015 US$)
547,NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU)
548,NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU)
549,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$)
550,NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)"
551,NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)"
552,SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
553,SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
554,SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
555,NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP)
556,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$)
557,NE.DAB.TOTL.KN,Gross national expenditure (constant LCU)
558,NE.DAB.TOTL.CN,Gross national expenditure (current LCU)
559,NE.DAB.TOTL.CD,Gross national expenditure (current US$)
560,NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country)
561,NY.GNS.ICTR.ZS,Gross savings (% of GDP)
562,NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI)
563,NY.GNS.ICTR.CN,Gross savings (current LCU)
564,NY.GNS.ICTR.CD,Gross savings (current US$)
565,NY.GDP.FCST.KD,Gross value added at basic prices (GVA) (constant 2015 US$)
566,NY.GDP.FCST.KN,Gross value added at basic prices (GVA) (constant LCU)
567,NY.GDP.FCST.CN,Gross value added at basic prices (GVA) (current LCU)
568,NY.GDP.FCST.CD,Gross value added at basic prices (GVA) (current US$)
569,EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent)
570,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports)
571,TX.VAL.TECH.CD,High-technology exports (current US$)
572,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
573,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP)
574,NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure (annual % growth)
575,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$)
576,NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure (constant LCU)
577,NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure (current LCU)
578,NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure (current US$)
579,NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
580,NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth (annual %)
581,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
582,NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)"
583,NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU)
584,HD.HCI.OVRL,Human capital index (HCI) (scale 0-1)
585,HD.HCI.OVRL.FE,"Human capital index (HCI), female (scale 0-1)"
586,HD.HCI.OVRL.LB.FE,"Human capital index (HCI), female, lower bound (scale 0-1)"
587,HD.HCI.OVRL.UB.FE,"Human capital index (HCI), female, upper bound (scale 0-1)"
588,HD.HCI.OVRL.LB,"Human capital index (HCI), lower bound (scale 0-1)"
589,HD.HCI.OVRL.MA,"Human capital index (HCI), male (scale 0-1)"
590,HD.HCI.OVRL.LB.MA,"Human capital index (HCI), male, lower bound (scale 0-1)"
591,HD.HCI.OVRL.UB.MA,"Human capital index (HCI), male, upper bound (scale 0-1)"
592,HD.HCI.OVRL.UB,"Human capital index (HCI), upper bound (scale 0-1)"
593,DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)"
594,TX.VAL.ICTG.ZS.UN,ICT goods exports (% of total goods exports)
595,TM.VAL.ICTG.ZS.UN,ICT goods imports (% total goods imports)
596,BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)"
597,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
598,IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high)
599,DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, US$)"
600,DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)"
601,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
602,SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
603,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
604,TM.UVI.MRCH.XD.WD,Import unit value index (2015 = 100)
605,TM.VAL.MRCH.XD.WD,Import value index (2015 = 100)
606,TM.QTY.MRCH.XD.WD,Import volume index (2015 = 100)
607,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
608,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth)
609,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)"
610,NE.IMP.GNFS.KD,Imports of goods and services (constant 2015 US$)
611,NE.IMP.GNFS.KN,Imports of goods and services (constant LCU)
612,NE.IMP.GNFS.CN,Imports of goods and services (current LCU)
613,NE.IMP.GNFS.CD,Imports of goods and services (current US$)
614,BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)"
615,SH.HIV.INCD.YG.P3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
616,SH.HIV.INCD.ZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
617,SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)"
618,SH.MLR.INCD.P3,"Incidence of malaria (per 1,000 population at risk)"
619,SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)"
620,SI.DST.04TH.20,Income share held by fourth 20%
621,SI.DST.10TH.10,Income share held by highest 10%
622,SI.DST.05TH.20,Income share held by highest 20%
623,SI.DST.FRST.10,Income share held by lowest 10%
624,SI.DST.FRST.20,Income share held by lowest 20%
625,SI.DST.02ND.20,Income share held by second 20%
626,SI.DST.03RD.20,Income share held by third 20%
627,IT.NET.USER.ZS,Individuals using the Internet (% of population)
628,IP.IDS.NRCT,"Industrial design applications, nonresident, by count"
629,IP.IDS.RSCT,"Industrial design applications, resident, by count"
630,NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
631,NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)"
632,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)"
633,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)"
634,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)"
635,NV.IND.TOTL.CD,"Industry (including construction), value added (current US$)"
636,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)"
637,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
638,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
639,NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
640,IC.FRM.CORR.ZS,Informal payments to public officials (% of firms)
641,TX.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service exports)
642,TM.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service imports)
643,BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)"
644,BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)"
645,VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)"
646,VC.IHR.PSRC.FE.P5,"Intentional homicides, female (per 100,000 female)"
647,VC.IHR.PSRC.MA.P5,"Intentional homicides, male (per 100,000 male)"
648,GC.XPN.INTP.ZS,Interest payments (% of expense)
649,GC.XPN.INTP.RV.ZS,Interest payments (% of revenue)
650,GC.XPN.INTP.CN,Interest payments (current LCU)
651,FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)"
652,VC.IDP.NWCV,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"
653,VC.IDP.NWDS,"Internally displaced persons, new displacement associated with disasters (number of cases)"
654,VC.IDP.TOCV,"Internally displaced persons, total displaced by conflict and violence (number of people)"
655,SM.POP.TOTL.ZS,International migrant stock (% of population)
656,SM.POP.TOTL,"International migrant stock, total"
657,ST.INT.XPND.MP.ZS,"International tourism, expenditures (% of total imports)"
658,ST.INT.XPND.CD,"International tourism, expenditures (current US$)"
659,ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items (current US$)"
660,ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)"
661,ST.INT.ARVL,"International tourism, number of arrivals"
662,ST.INT.DPRT,"International tourism, number of departures"
663,ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)"
664,ST.INT.RCPT.CD,"International tourism, receipts (current US$)"
665,ST.INT.TRNR.CD,"International tourism, receipts for passenger transport items (current US$)"
666,ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)"
667,IE.PPI.ENGY.CD,Investment in energy with private participation (current US$)
668,IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$)
669,IE.PPI.TRAN.CD,Investment in transport with private participation (current US$)
670,IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$)
671,SL.TLF.ACTI.1524.FE.ZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
672,SL.TLF.ACTI.1524.FE.NE.ZS,"Labor force participation rate for ages 15-24, female (%) (national estimate)"
673,SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
674,SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)"
675,SL.TLF.ACTI.1524.ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
676,SL.TLF.ACTI.1524.NE.ZS,"Labor force participation rate for ages 15-24, total (%) (national estimate)"
677,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
678,SL.TLF.CACT.FE.NE.ZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
679,SL.TLF.ACTI.FE.ZS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
680,SL.TLF.CACT.MA.ZS,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
681,SL.TLF.CACT.MA.NE.ZS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
682,SL.TLF.ACTI.MA.ZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
683,SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
684,SL.TLF.CACT.NE.ZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
