,Series Code,Series Name
345,SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)"
346,SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)"
347,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)"
348,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
349,SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)"
350,SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)"
351,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
352,TT.PRI.MRCH.XD.WD,Net barter terms of trade index (2015 = 100)
353,DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)"
354,DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
355,DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)"
356,DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
357,DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)"
358,DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)"
359,DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
360,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)"
361,DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
362,DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)"
363,BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)"
364,FM.AST.DOMS.CN,Net domestic credit (current LCU)
365,BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)"
366,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)"
367,FM.AST.NFRG.CN,Net foreign assets (current LCU)
368,SM.POP.NETM,Net migration
369,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI)
370,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$)
371,DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2021 US$)
372,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$)
373,DT.ODA.ODAT.KD,Net official development assistance received (constant 2021 US$)
374,DT.ODA.ODAT.CD,Net official development assistance received (current US$)
375,DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)"
376,DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)"
377,DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)"
378,BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)"
379,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU)
380,NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$)
381,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
382,NY.TRF.NCTR.CN,Net secondary income (Net current transfers from abroad) (current LCU)
383,NY.TRF.NCTR.CD,Net secondary income (Net current transfers from abroad) (current US$)
384,BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)"
385,BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)"
386,EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent)
387,EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)
388,SH.DTH.1014,Number of deaths ages 10-14 years
389,SH.DTH.1519,Number of deaths ages 15-19 years
390,SH.DTH.2024,Number of deaths ages 20-24 years
391,SH.DTH.0509,Number of deaths ages 5-9 years
392,SH.DTH.IMRT,Number of infant deaths
393,SH.MMR.DTHS,Number of maternal deaths
394,SH.DTH.NMRT,Number of neonatal deaths
395,SH.DTH.MORT,Number of under-five deaths
396,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)"
397,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
398,TX.VAL.MMTL.ZS.UN,Ores and metals exports (% of merchandise exports)
399,TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports)
400,IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits)
401,SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure (% of current health expenditure)
402,SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita (current US$)
403,SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP (current international $)"
404,SH.STA.ODFC.ZS,People practicing open defecation (% of population)
405,SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)"
406,SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)"
407,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population)
408,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)"
409,SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)"
410,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population)
411,SH.STA.BASS.RU.ZS,"People using at least basic sanitation services, rural (% of rural population)"
412,SH.STA.BASS.UR.ZS,"People using at least basic sanitation services, urban (% of urban population)"
413,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
414,IQ.SCI.PRDC,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)
415,AG.LND.CROP.ZS,Permanent cropland (% of land area)
416,BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)"
417,BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)"
418,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)"
419,BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)"
420,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
421,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate
422,PV.NO.SRC,Political Stability and Absence of Violence/Terrorism: Number of Sources
423,PV.PER.RNK,Political Stability and Absence of Violence/Terrorism: Percentile Rank
424,PV.PER.RNK.LOWER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval"
425,PV.PER.RNK.UPPER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval"
426,PV.STD.ERR,Political Stability and Absence of Violence/Terrorism: Standard Error
427,SP.POP.0004.FE.5Y,"Population ages 00-04, female (% of female population)"
428,SP.POP.0004.MA.5Y,"Population ages 00-04, male (% of male population)"
429,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population)
430,SP.POP.0014.FE.IN,"Population ages 0-14, female"
431,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)"
432,SP.POP.0014.MA.IN,"Population ages 0-14, male"
433,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)"
434,SP.POP.0014.TO,"Population ages 0-14, total"
435,SP.POP.0509.FE.5Y,"Population ages 05-09, female (% of female population)"
436,SP.POP.0509.MA.5Y,"Population ages 05-09, male (% of male population)"
437,SP.POP.1014.FE.5Y,"Population ages 10-14, female (% of female population)"
438,SP.POP.1014.MA.5Y,"Population ages 10-14, male (% of male population)"
439,SP.POP.1519.FE.5Y,"Population ages 15-19, female (% of female population)"
440,SP.POP.1519.MA.5Y,"Population ages 15-19, male (% of male population)"
441,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population)
442,SP.POP.1564.FE.IN,"Population ages 15-64, female"
443,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)"
444,SP.POP.1564.MA.IN,"Population ages 15-64, male"
445,SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)"
446,SP.POP.1564.TO,"Population ages 15-64, total"
447,SP.POP.2024.FE.5Y,"Population ages 20-24, female (% of female population)"
448,SP.POP.2024.MA.5Y,"Population ages 20-24, male (% of male population)"
449,SP.POP.2529.FE.5Y,"Population ages 25-29, female (% of female population)"
450,SP.POP.2529.MA.5Y,"Population ages 25-29, male (% of male population)"
451,SP.POP.3034.FE.5Y,"Population ages 30-34, female (% of female population)"
452,SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)"
453,SP.POP.3539.FE.5Y,"Population ages 35-39, female (% of female population)"
454,SP.POP.3539.MA.5Y,"Population ages 35-39, male (% of male population)"
455,SP.POP.4044.FE.5Y,"Population ages 40-44, female (% of female population)"
456,SP.POP.4044.MA.5Y,"Population ages 40-44, male (% of male population)"
457,SP.POP.4549.FE.5Y,"Population ages 45-49, female (% of female population)"
458,SP.POP.4549.MA.5Y,"Population ages 45-49, male (% of male population)"
459,SP.POP.5054.FE.5Y,"Population ages 50-54, female (% of female population)"
460,SP.POP.5054.MA.5Y,"Population ages 50-54, male (% of male population)"
461,SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)"
462,SP.POP.5559.MA.5Y,"Population ages 55-59, male (% of male population)"
463,SP.POP.6064.FE.5Y,"Population ages 60-64, female (% of female population)"
464,SP.POP.6064.MA.5Y,"Population ages 60-64, male (% of male population)"
465,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population)
466,SP.POP.65UP.FE.IN,"Population ages 65 and above, female"
467,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)"
468,SP.POP.65UP.MA.IN,"Population ages 65 and above, male"
469,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)"
470,SP.POP.65UP.TO,"Population ages 65 and above, total"
471,SP.POP.6569.FE.5Y,"Population ages 65-69, female (% of female population)"
472,SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)"
473,SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)"
474,SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)"
475,SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)"
476,SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)"
477,SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)"
478,SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)"
479,EN.POP.DNST,Population density (people per sq. km of land area)
480,SP.POP.GROW,Population growth (annual %)
481,EN.URB.LCTY,Population in largest city
482,EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population)
483,SP.POP.TOTL.FE.IN,"Population, female"
484,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)"
485,SP.POP.TOTL.MA.IN,"Population, male"
486,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)"
487,SP.POP.TOTL,"Population, total"
488,BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)"
489,BN.KLT.PTXL.CD,"Portfolio investment, net (BoP, current US$)"
490,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)"
491,PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)"
492,SE.PRE.DURS,"Preprimary education, duration (years)"
493,SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months)
494,SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
495,SH.PRG.ANEM,Prevalence of anemia among pregnant women (%)
496,SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
497,SH.PRV.SMOK,Prevalence of current tobacco use (% of adults)
498,SH.PRV.SMOK.FE,"Prevalence of current tobacco use, females (% of female adults)"
499,SH.PRV.SMOK.MA,"Prevalence of current tobacco use, males (% of male adults)"
500,SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)"
501,SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)"
502,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)"
503,SN.ITK.MSFI.ZS,Prevalence of moderate or severe food insecurity in the population (%)
504,SH.STA.OWGH.ME.ZS,"Prevalence of overweight (modeled estimate, % of children under 5)"
505,SN.ITK.SVFI.ZS,Prevalence of severe food insecurity in the population (%)
506,SH.STA.STNT.ME.ZS,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)"
507,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population)
508,PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate
509,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
510,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
511,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
512,SE.PRM.DURS,"Primary education, duration (years)"
513,SE.PRM.ENRL,"Primary education, pupils"
514,SE.PRM.TCHR,"Primary education, teachers"
515,SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
516,GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%)
517,BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)"
518,BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)"
519,SE.PRM.AGES,Primary school starting age (years)
520,IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults)
521,SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)"
522,SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)"
523,SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)"
524,SH.DYN.2024,"Probability of dying among youth ages 20-24 years (per 1,000)"
525,IC.WRH.PROC,Procedures to build a warehouse (number)
526,IC.PRP.PROC,Procedures to register property (number)
527,IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits)
528,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
529,IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults)
530,SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
531,SM.POP.REFG,Refugee population by country or territory of asylum
532,SM.POP.REFG.OR,Refugee population by country or territory of origin
533,RQ.EST,Regulatory Quality: Estimate
534,RQ.NO.SRC,Regulatory Quality: Number of Sources
535,RQ.PER.RNK,Regulatory Quality: Percentile Rank
536,RQ.PER.RNK.LOWER,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval"
537,RQ.PER.RNK.UPPER,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval"
538,RQ.STD.ERR,Regulatory Quality: Standard Error
539,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
540,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
541,ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
542,BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)"
543,RL.EST,Rule of Law: Estimate
544,RL.NO.SRC,Rule of Law: Number of Sources
545,RL.PER.RNK,Rule of Law: Percentile Rank
546,RL.PER.RNK.LOWER,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval"
547,RL.PER.RNK.UPPER,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval"
548,RL.STD.ERR,Rule of Law: Standard Error
549,SP.RUR.TOTL,Rural population
550,SP.RUR.TOTL.ZS,Rural population (% of total population)
551,SP.RUR.TOTL.ZG,Rural population growth (annual %)
552,SE.PRM.ENRR,"School enrollment, primary (% gross)"
553,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
554,SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
555,SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
556,SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
557,IP.JRN.ARTC.SC,Scientific and technical journal articles
558,SE.SEC.DURS,"Secondary education, duration (years)"
559,BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)"
560,BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)"
561,IT.NET.SECR,Secure Internet servers
562,IT.NET.SECR.P6,Secure Internet servers (per 1 million people)
563,SL.EMP.SELF.FE.ZS,"Self-employed, female (% of female employment) (modeled ILO estimate)"
564,SL.EMP.SELF.MA.ZS,"Self-employed, male (% of male employment) (modeled ILO estimate)"
565,SL.EMP.SELF.ZS,"Self-employed, total (% of total employment) (modeled ILO estimate)"
566,BX.GSR.NFSV.CD,"Service exports (BoP, current US$)"
567,BM.GSR.NFSV.CD,"Service imports (BoP, current US$)"
568,NV.SRV.TOTL.ZS,"Services, value added (% of GDP)"
569,NV.SRV.TOTL.KD.ZG,"Services, value added (annual % growth)"
570,NV.SRV.TOTL.KD,"Services, value added (constant 2015 US$)"
571,NV.SRV.TOTL.KN,"Services, value added (constant LCU)"
572,NV.SRV.TOTL.CN,"Services, value added (current LCU)"
573,NV.SRV.TOTL.CD,"Services, value added (current US$)"
574,NV.SRV.EMPL.KD,"Services, value added per worker (constant 2015 US$)"
575,SP.POP.BRTH.MF,Sex ratio at birth (male births per female births)
576,IQ.SCI.SRCE,Source data assessment of statistical capacity (scale 0 - 100)
577,IC.REG.PROC,Start-up procedures to register a business (number)
578,IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)"
579,IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)"
580,IQ.SCI.OVRL,Statistical Capacity Score (Overall Average) (scale 0 - 100)
581,IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100)
582,IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
583,IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
584,IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
585,IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
586,IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
587,IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong)
588,SH.STA.SUIC.P5,"Suicide mortality rate (per 100,000 population)"
589,SH.STA.SUIC.FE.P5,"Suicide mortality rate, female (per 100,000 female population)"
590,SH.STA.SUIC.MA.P5,"Suicide mortality rate, male (per 100,000 male population)"
591,AG.SRF.TOTL.K2,Surface area (sq. km)
592,SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)"
593,SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)"
594,IC.TAX.PAYM,Tax payments (number)
595,NY.TAX.NIND.KN,Taxes less subsidies on products (constant LCU)
596,NY.TAX.NIND.CN,Taxes less subsidies on products (current LCU)
597,NY.TAX.NIND.CD,Taxes less subsidies on products (current US$)
598,BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)"
599,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
600,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
601,IC.WRH.DURS,Time required to build a warehouse (days)
602,IC.LGL.DURS,Time required to enforce a contract (days)
603,IC.ELC.TIME,Time required to get electricity (days)
604,IC.PRP.DURS,Time required to register property (days)
605,IC.REG.DURS,Time required to start a business (days)
606,IC.REG.DURS.FE,"Time required to start a business, female (days)"
607,IC.REG.DURS.MA,"Time required to start a business, male (days)"
608,IC.EXP.TMBC,"Time to export, border compliance (hours)"
609,IC.EXP.TMDC,"Time to export, documentary compliance (hours)"
610,IC.IMP.TMBC,"Time to import, border compliance (hours)"
611,IC.IMP.TMDC,"Time to import, documentary compliance (hours)"
612,IC.TAX.DURS,Time to prepare and pay taxes (hours)
613,IC.ISV.DURS,Time to resolve insolvency (years)
614,SH.ALC.PCAP.LI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
615,SH.ALC.PCAP.FE.LI,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
616,SH.ALC.PCAP.MA.LI,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
617,ER.FSH.PROD.MT,Total fisheries production (metric tons)
618,EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent)
619,NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
620,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)"
621,FI.RES.TOTL.MO,Total reserves in months of imports
622,FI.RES.XGLD.CD,Total reserves minus gold (current US$)
623,IC.TAX.TOTL.CP.ZS,Total tax and contribution rate (% of profit)
624,BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
625,TX.VAL.TRAN.ZS.WT,Transport services (% of commercial service exports)
626,TM.VAL.TRAN.ZS.WT,Transport services (% of commercial service imports)
627,BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)"
628,BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)"
629,TX.VAL.TRVL.ZS.WT,Travel services (% of commercial service exports)
630,TM.VAL.TRVL.ZS.WT,Travel services (% of commercial service imports)
631,BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)"
632,BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)"
633,SH.TBS.DTEC.ZS,"Tuberculosis case detection rate (%, all forms)"
634,SH.TBS.CURE.ZS,Tuberculosis treatment success rate (% of new cases)
635,SH.UHC.SRVS.CV.XD,UHC service coverage index
636,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
637,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)"
638,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
639,SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
640,SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
641,SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
642,SP.URB.TOTL,Urban population
643,SP.URB.TOTL.IN.ZS,Urban population (% of total population)
644,SP.URB.GROW,Urban population growth (annual %)
645,VA.EST,Voice and Accountability: Estimate
646,VA.NO.SRC,Voice and Accountability: Number of Sources
647,VA.PER.RNK,Voice and Accountability: Percentile Rank
648,VA.PER.RNK.LOWER,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval"
649,VA.PER.RNK.UPPER,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval"
650,VA.STD.ERR,Voice and Accountability: Standard Error
651,SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
652,SL.EMP.VULN.MA.ZS,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
653,SL.EMP.VULN.ZS,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
654,SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
655,SL.EMP.WORK.MA.ZS,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
656,SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
657,ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
658,SG.LAW.INDX,Women Business and the Law Index Score (scale 1-100)
659,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%)
660,SH.HIV.INCD.YG,Young people (ages 15-24) newly infected with HIV
661,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
662,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$)
663,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
664,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$)
665,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
666,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
667,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
668,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
669,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
670,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
671,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
672,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
673,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
674,NE.GDI.STKB.CN,Changes in inventories (current LCU)
675,NE.GDI.STKB.CD,Changes in inventories (current US$)
676,SE.PRM.UNER.ZS,Children out of school (% of primary school age)
677,SE.PRM.UNER,"Children out of school, primary"
678,GC.XPN.COMP.ZS,Compensation of employees (% of expense)
679,GC.XPN.COMP.CN,Compensation of employees (current LCU)
680,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units)
681,NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
682,NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
683,SL.EMP.TOTL.SP.FE.NE.ZS,"Employment to population ratio, 15+, female (%) (national estimate)"
684,SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)"
685,SL.EMP.TOTL.SP.NE.ZS,"Employment to population ratio, 15+, total (%) (national estimate)"
686,GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
687,GC.XPN.TOTL.CN,Expense (current LCU)
688,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU)
689,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
690,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
691,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$)
692,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU)
693,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
694,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
695,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
696,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
697,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
698,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
699,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
700,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
701,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$)
702,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU)
703,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
704,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
705,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
706,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
707,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
708,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU)
709,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
710,NE.CON.GOVT.CD,General government final consumption expenditure (current US$)
711,NY.GNP.MKTP.KD,GNI (constant 2015 US$)
712,NY.GNP.MKTP.KN,GNI (constant LCU)
713,NY.GNP.MKTP.KD.ZG,GNI growth (annual %)
714,NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$)
715,NY.GNP.PCAP.KN,GNI per capita (constant LCU)
716,NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %)
717,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2021 international $)"
718,NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2021 international $)"
719,GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
720,GC.XPN.GSRV.CN,Goods and services expense (current LCU)
721,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
722,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
